,precision,recall,f1-score,support
!,0.11455847255369929,0.3072,0.16688396349413298,625.0
SPACE,0.979956703216862,0.9027421117333697,0.9397660174260495,292840.0
.,0.7318814188943114,0.8168441590114625,0.7720322704571648,12301.0
",",0.40604552575799463,0.7282644628099173,0.5213892669072836,24200.0
?,0.22332918223329182,0.5284872298624754,0.3139772395681354,1018.0
accuracy,0.884517076354144,0.884517076354144,0.884517076354144,0.884517076354144
macro avg,0.49115426053123185,0.656707592683445,0.5428097515705532,330984.0
weighted avg,0.9248140217655472,0.884517076354144,0.8995582900326251,330984.0
