,precision,recall,f1-score,support
!,0.0,0.0,0.0,670.0
SPACE,0.9705104812457235,0.6378353518319791,0.7697671502371255,293535.0
.,0.0,0.0,0.0,12374.0
",",0.1485463705024234,0.762490297806283,0.24865116898687806,24479.0
?,0.03298417650991754,0.4577319587628866,0.06153419721433027,970.0
accuracy,0.6214415651692026,0.6214415651692026,0.6214415651692026,0.6214415651692026
macro avg,0.23040820565161288,0.3716115216802297,0.21599050328766672,332028.0
weighted avg,0.8690443437517524,0.6214415651692026,0.6990374925662364,332028.0
